Unnamed: 0,subj1,subj2,expected-consistency,observed-consistency,cohens-kappa,condition
0,age2-,age1-,0.5168,0.68,0.33774834437086104,4-6 vs. 7-9
1,age2-,age1-,0.5,0.7,0.3999999999999999,4-6 vs. 7-9
2,age2-,age4-,0.4928,0.72,0.4479495268138801,7-9 vs. 13-15
3,age2-,age4-,0.5072000000000001,0.84,0.6753246753246752,7-9 vs. 13-15
4,age2-,age4-,0.5168,0.84,0.6688741721854303,7-9 vs. 13-15
5,age2-,age2-,0.5216000000000001,0.8,0.5819397993311037,7-9 vs. 7-9
6,age2-,age2-,0.4976,0.84,0.6815286624203821,7-9 vs. 7-9
7,age2-,age1-,0.512,0.72,0.4262295081967212,4-6 vs. 7-9
8,age2-,age2-,0.5216000000000001,0.72,0.41471571906354493,7-9 vs. 7-9
9,age2-,age2-,0.4976,0.76,0.5222929936305732,7-9 vs. 7-9
10,age2-,age3-,0.5168,0.84,0.6688741721854303,7-9 vs. 10-12
11,age2-,age3-,0.512,0.8,0.5901639344262296,7-9 vs. 10-12
12,age2-,age1-,0.5504000000000001,0.64,0.19928825622775784,4-6 vs. 7-9
13,age2-,age4-,0.5168,0.76,0.5033112582781457,7-9 vs. 13-15
14,age2-,age4-,0.5,0.8,0.6000000000000001,7-9 vs. 13-15
15,age2-,age4-,0.4928,0.8,0.6056782334384859,7-9 vs. 13-15
16,age2-,age3-,0.5072000000000001,0.76,0.5129870129870129,7-9 vs. 10-12
17,age2-,age3-,0.512,0.8,0.5901639344262296,7-9 vs. 10-12
18,age2-,age3-,0.5,0.8,0.6000000000000001,7-9 vs. 10-12
19,age2-,age3-,0.5168,0.76,0.5033112582781457,7-9 vs. 10-12
20,age2-,age3-,0.5,0.75,0.5,7-9 vs. 10-12
21,age2-,age2-,0.4976,0.76,0.5222929936305732,7-9 vs. 7-9
22,age2-,age5-,0.4928,0.64,0.2902208201892745,7-9 vs. Adults
23,age2-,age5-,0.512,0.8,0.5901639344262296,7-9 vs. Adults
24,age2-,age5-,0.5024,0.72,0.4372990353697749,7-9 vs. Adults
57,age2-,vgg19-,0.5504000000000001,0.56,0.021352313167259662,7-9 vs. DNNs
58,age2-,BiTM_resnetv2_152x2-,0.4928,0.72,0.4479495268138801,7-9 vs. DNNs
65,age2-,ResNeXt101_32x16d_swsl-,0.4976,0.68,0.3630573248407644,7-9 vs. DNNs
70,age2-,resnext101_32x8d-,0.5504000000000001,0.48,-0.15658362989323876,7-9 vs. DNNs
73,age2-,swag_regnety_128gf_in1k-,0.4544,0.56,0.19354838709677424,7-9 vs. DNNs
78,age1-,age1-,0.5599999999999999,0.85,0.6590909090909091,4-6 vs. 4-6
79,age1-,age4-,0.4742857142857143,0.6,0.23913043478260865,4-6 vs. 13-15
80,age1-,age4-,0.5168,0.84,0.6688741721854303,4-6 vs. 13-15
81,age1-,age4-,0.5259259259259259,0.7333333333333333,0.4374999999999999,4-6 vs. 13-15
82,age1-,age2-,0.5477685950413224,0.7454545454545455,0.4371345029239766,4-6 vs. 7-9
83,age1-,age2-,0.5140495867768595,0.7454545454545455,0.4761904761904762,4-6 vs. 7-9
84,age1-,age1-,0.54375,0.8,0.5616438356164385,4-6 vs. 4-6
85,age1-,age2-,0.536,0.68,0.31034482758620696,4-6 vs. 7-9
86,age1-,age2-,0.5140495867768595,0.7454545454545455,0.4761904761904762,4-6 vs. 7-9
87,age1-,age3-,0.5216000000000001,0.64,0.2474916387959865,4-6 vs. 10-12
88,age1-,age3-,0.5252892561983471,0.7454545454545455,0.4637883008356546,4-6 vs. 10-12
89,age1-,age1-,0.5733333333333334,0.7333333333333333,0.37499999999999983,4-6 vs. 4-6
90,age1-,age4-,0.5196694214876033,0.7272727272727273,0.4322092222986924,4-6 vs. 13-15
91,age1-,age4-,0.5,0.85,0.7,4-6 vs. 13-15
92,age1-,age4-,0.468,0.7,0.4360902255639097,4-6 vs. 13-15
93,age1-,age4-,0.4955102040816327,0.6,0.2071197411003235,4-6 vs. 13-15
94,age1-,age3-,0.4839506172839506,0.7111111111111111,0.4401913875598087,4-6 vs. 10-12
95,age1-,age3-,0.5175000000000001,0.725,0.4300518134715025,4-6 vs. 10-12
96,age1-,age1-,0.5666666666666667,0.7,0.3076923076923076,4-6 vs. 4-6
97,age1-,age1-,0.6199999999999999,0.8,0.473684210526316,4-6 vs. 4-6
98,age1-,age3-,0.5,0.85,0.7,4-6 vs. 10-12
99,age1-,age3-,0.52625,0.7,0.3667546174142479,4-6 vs. 10-12
100,age1-,age3-,0.515,0.8,0.5876288659793816,4-6 vs. 10-12
101,age1-,age3-,0.52,0.55,0.06250000000000007,4-6 vs. 10-12
102,age1-,age3-,0.5,0.6666666666666666,0.3333333333333333,4-6 vs. 10-12
103,age1-,age2-,0.5196694214876033,0.8,0.5836200963523744,4-6 vs. 7-9
