Unnamed: 0,subj1,subj2,expected-consistency,observed-consistency,cohens-kappa,condition
0,age2-,age1-,0.5056,0.64,0.2718446601941747,4-6 vs. 7-9
1,age2-,age1-,0.515,0.7,0.381443298969072,4-6 vs. 7-9
2,age2-,age4-,0.528,0.72,0.40677966101694907,7-9 vs. 13-15
3,age2-,age4-,0.5504,0.72,0.3772241992882562,7-9 vs. 13-15
4,age2-,age4-,0.528,0.8,0.576271186440678,7-9 vs. 13-15
5,age2-,age2-,0.4832,0.56,0.14860681114551091,7-9 vs. 7-9
6,age2-,age2-,0.5392,0.6,0.13194444444444434,7-9 vs. 7-9
7,age2-,age1-,0.4832,0.56,0.14860681114551091,4-6 vs. 7-9
8,age2-,age2-,0.5392,0.84,0.6527777777777777,7-9 vs. 7-9
9,age2-,age2-,0.5392,0.6,0.13194444444444434,7-9 vs. 7-9
10,age2-,age3-,0.5504,0.8,0.5551601423487545,7-9 vs. 10-12
11,age2-,age3-,0.5392,0.76,0.4791666666666667,7-9 vs. 10-12
12,age2-,age1-,0.4384,0.56,0.2165242165242166,4-6 vs. 7-9
13,age2-,age4-,0.528,0.8,0.576271186440678,7-9 vs. 13-15
14,age2-,age4-,0.53,0.65,0.2553191489361702,7-9 vs. 13-15
15,age2-,age4-,0.5728,0.72,0.34456928838951306,7-9 vs. 13-15
16,age2-,age3-,0.5504,0.8,0.5551601423487545,7-9 vs. 10-12
17,age2-,age3-,0.5504,0.8,0.5551601423487545,7-9 vs. 10-12
18,age2-,age3-,0.53,0.75,0.4680851063829787,7-9 vs. 10-12
19,age2-,age3-,0.5056,0.8,0.5954692556634305,7-9 vs. 10-12
20,age2-,age3-,0.5,0.65,0.30000000000000004,7-9 vs. 10-12
21,age2-,age2-,0.5728,0.72,0.34456928838951306,7-9 vs. 7-9
22,age2-,age5-,0.5504,0.8,0.5551601423487545,7-9 vs. Adults
23,age2-,age5-,0.5504,0.72,0.3772241992882562,7-9 vs. Adults
24,age2-,age5-,0.5616,0.76,0.4525547445255475,7-9 vs. Adults
57,age2-,vgg19-,0.3936,0.4,0.01055408970976265,7-9 vs. DNNs
58,age2-,BiTM_resnetv2_152x2-,0.5728,0.64,0.15730337078651693,7-9 vs. DNNs
65,age2-,ResNeXt101_32x16d_swsl-,0.5504,0.64,0.19928825622775806,7-9 vs. DNNs
70,age2-,resnext101_32x8d-,0.4384,0.48,0.07407407407407403,7-9 vs. DNNs
73,age2-,swag_regnety_128gf_in1k-,0.6064,0.6,-0.016260162601626202,7-9 vs. DNNs
78,age1-,age1-,0.515,0.7,0.381443298969072,4-6 vs. 4-6
79,age1-,age4-,0.5183673469387755,0.7142857142857143,0.4067796610169492,4-6 vs. 13-15
80,age1-,age4-,0.5072,0.6,0.1883116883116883,4-6 vs. 13-15
81,age1-,age4-,0.5397530864197531,0.6888888888888889,0.3240343347639485,4-6 vs. 13-15
82,age1-,age2-,0.5163636363636364,0.6909090909090909,0.3609022556390978,4-6 vs. 7-9
83,age1-,age2-,0.52,0.7454545454545455,0.4696969696969697,4-6 vs. 7-9
84,age1-,age1-,0.51125,0.5,-0.023017902813299195,4-6 vs. 4-6
85,age1-,age2-,0.544,0.72,0.3859649122807016,4-6 vs. 7-9
